"","I_all_1825","kappa_value_1c","kappa_value_2c","kappa_value_11","kappa_value_22","kappa_value_12","kappa_value_21","gamma_value_VA","gamma_value_EC"
"4573",2007.71145600737,0.0910966919689486,0.0910966919689486,0.113231737347993,0.113231737347993,0.113231737347993,0.113231737347993,0.0437145461348305,0.0437145461348305
"4574",1707.90978335457,0.0696720530715614,0.0696720530715614,0.0912220784121821,0.0912220784121821,0.0912220784121821,0.0912220784121821,0.0123166923469258,0.0123166923469258
"4575",2138.78046872035,0.0697340708469586,0.0697340708469586,0.0901414840889643,0.0901414840889643,0.0901414840889643,0.0901414840889643,0.0550710474519245,0.0550710474519245
"4576",2003.75317575985,0.116514664131095,0.116514664131095,0.15512569672218,0.15512569672218,0.15512569672218,0.15512569672218,0.0670526407887507,0.0670526407887507
"4577",2334.68457521262,0.0231470442301545,0.0231470442301545,0.0130396326333696,0.0130396326333696,0.0130396326333696,0.0130396326333696,0.0522907945089368,0.0522907945089368
"4578",1539.05223341444,0.163452857804012,0.163452857804012,0.22836638536317,0.22836638536317,0.22836638536317,0.22836638536317,0.0266056453805091,0.0266056453805091
"4579",1966.42757951504,0.0530597401565776,0.0530597401565776,0.0334863647304101,0.0334863647304101,0.0334863647304101,0.0334863647304101,0.0168362985436013,0.0168362985436013
"4580",1710.42840806548,0.153412916871316,0.153412916871316,0.0908712609178219,0.0908712609178219,0.0908712609178219,0.0908712609178219,0.0339039425095171,0.0339039425095171
"4581",1617.93572527028,0.196711603653069,0.196711603653069,0.166941710641336,0.166941710641336,0.166941710641336,0.166941710641336,0.0401006176114269,0.0401006176114269
"4582",1609.05135773319,0.163698417040456,0.163698417040456,0.210866988066009,0.210866988066009,0.210866988066009,0.210866988066009,0.0311293987006554,0.0311293987006554
"4583",2381.79575302966,0.0134967309008493,0.0134967309008493,0.0187578068255947,0.0187578068255947,0.0187578068255947,0.0187578068255947,0.0562128389404807,0.0562128389404807
"4584",2073.1602790174,0.0980492780826384,0.0980492780826384,0.0927015330335675,0.0927015330335675,0.0927015330335675,0.0927015330335675,0.0678868970140023,0.0678868970140023
"4585",1606.1256097897,0.188577326418874,0.188577326418874,0.172597756988466,0.172597756988466,0.172597756988466,0.172597756988466,0.0366664293847745,0.0366664293847745
"4586",1576.90924674062,0.136523978714405,0.136523978714405,0.0712194520282127,0.0712194520282127,0.0712194520282127,0.0712194520282127,0.0204008514773613,0.0204008514773613
"4587",1433.47202424747,0.118577247039394,0.118577247039394,0.169735363964433,0.169735363964433,0.169735363964433,0.169735363964433,0.0137113069406617,0.0137113069406617
"4588",1988.76135275255,0.102150140705322,0.102150140705322,0.118324819200653,0.118324819200653,0.118324819200653,0.118324819200653,0.0484769085758505,0.0484769085758505
"4589",1538.99323747037,0.16517486688803,0.16517486688803,0.187134100246409,0.187134100246409,0.187134100246409,0.187134100246409,0.0261749504085584,0.0261749504085584
"4590",785.249010578469,0.0963318632163433,0.0963318632163433,0.086581885039777,0.086581885039777,0.086581885039777,0.086581885039777,0.00307476908527315,0.00307476908527315
"4591",2010.60404568059,0.0810017092996067,0.0810017092996067,0.0951938752085256,0.0951938752085256,0.0951938752085256,0.0951938752085256,0.0365142972949706,0.0365142972949706
"4592",2345.32859959546,0.0156255206141616,0.0156255206141616,0.0232107209736692,0.0232107209736692,0.0232107209736692,0.0232107209736692,0.0335186349698575,0.0335186349698575
"4593",2346.00003765919,0.00787781781663794,0.00787781781663794,0.0106579442845641,0.0106579442845641,0.0106579442845641,0.0106579442845641,0.013703586026961,0.013703586026961
"4594",699.787105356622,0.191509259981976,0.191509259981976,0.144855166036032,0.144855166036032,0.144855166036032,0.144855166036032,0.00560875268480741,0.00560875268480741
"4595",1879.67254007261,0.130582578382955,0.130582578382955,0.173093539905579,0.173093539905579,0.173093539905579,0.173093539905579,0.0485289126756368,0.0485289126756368
"4596",2079.88559916562,0.0808058082368859,0.0808058082368859,0.118644478072358,0.118644478072358,0.118644478072358,0.118644478072358,0.0512020123260189,0.0512020123260189
"4597",1864.37394835429,0.150038962652529,0.150038962652529,0.22045058854554,0.22045058854554,0.22045058854554,0.22045058854554,0.0596291072790837,0.0596291072790837
"4598",1087.95028943679,0.187374555354198,0.187374555354198,0.102960303137949,0.102960303137949,0.102960303137949,0.102960303137949,0.01143543668631,0.01143543668631
"4599",2372.18515115874,0.00562212419524974,0.00562212419524974,0.00288684401318016,0.00288684401318016,0.00288684401318016,0.00288684401318016,0.0133165687466087,0.0133165687466087
"4600",1956.21764721952,0.0255279197572155,0.0255279197572155,0.0167425086631774,0.0167425086631774,0.0167425086631774,0.0167425086631774,0.00691047747413628,0.00691047747413628
"4601",1403.1416525053,0.187195611780715,0.187195611780715,0.197684392267052,0.197684392267052,0.197684392267052,0.197684392267052,0.022958787242244,0.022958787242244
"4602",1639.66012531515,0.150515855738845,0.150515855738845,0.21948969674882,0.21948969674882,0.21948969674882,0.21948969674882,0.0301577393080946,0.0301577393080946
"4603",2185.08459360646,0.0312363764488424,0.0312363764488424,0.0207521120403415,0.0207521120403415,0.0207521120403415,0.0207521120403415,0.0210706454795972,0.0210706454795972
"4604",1861.63765624884,0.154961320965694,0.154961320965694,0.126989513002654,0.126989513002654,0.126989513002654,0.126989513002654,0.0581686039324151,0.0581686039324151
"4605",1271.64004277101,0.0863267328915692,0.0863267328915692,0.123682511070182,0.123682511070182,0.123682511070182,0.123682511070182,0.00683873640032485,0.00683873640032485
"4606",2165.1747744315,0.0714558753608548,0.0714558753608548,0.0855192386133324,0.0855192386133324,0.0855192386133324,0.0855192386133324,0.0689804717436759,0.0689804717436759
"4607",1676.99322390635,0.110012523405174,0.110012523405174,0.0829041816091767,0.0829041816091767,0.0829041816091767,0.0829041816091767,0.0197788074481254,0.0197788074481254
"4608",1862.84950034668,0.170857279516591,0.170857279516591,0.125794304253458,0.125794304253458,0.125794304253458,0.125794304253458,0.0696666684047878,0.0696666684047878
"4609",1867.19873817537,0.123197400376574,0.123197400376574,0.161540641070593,0.161540641070593,0.161540641070593,0.161540641070593,0.0420411598958215,0.0420411598958215
"4610",1863.24127967514,0.0875139730942441,0.0875139730942441,0.0557991341762675,0.0557991341762675,0.0557991341762675,0.0557991341762675,0.0236083805622812,0.0236083805622812
